gds_jan_cd,,gdm_media_name,gds_tax_type,,,gdm_media_cd,
2002000000071,ﾛｯｸﾎﾟｯﾌﾟｽｾﾞﾝﾊﾟﾝ,CD ロック・ポップス 全般,1,10,0,21040,1
2002000000088,ﾛｯｸﾎﾟｯﾌﾟｽ,CD ロック・ポップス,1,20,0,21041,1
2002000000095,Jﾊｰﾄﾞﾒﾀﾙ,CD ハード・メタル,1,0,0,21042,1
2002000000101,Jﾊﾟﾝｸ,CD パンク,1,0,0,21043,1
2002000000118,Jﾌｫｰｸｶﾝﾄﾘｰ,CD フォーク・カントリー,1,0,0,21044,1
2002000000125,Jﾀﾞﾝｽｸﾗﾌﾞﾃｸﾉ,CD ダンス・クラブ・テクノ,1,0,0,21045,1
2002000000132,ﾌﾞﾗｯｸｾﾞﾝﾊﾟﾝ,CD ブラック 全般,1,0,0,21050,1
2002000000149,ｿｳﾙｱｰﾙｱﾝﾄﾞﾋﾞｰ,CD ソウル・R&B,1,5,0,21051,1
2002000000156,ﾗｯﾌﾟﾋｯﾌﾟﾎｯﾌﾟ,CD ラップ・ヒップホップ,1,0,0,21052,1
2002000000163,ﾌﾞﾙｰｽｺﾞｽﾍﾟﾙ,CD ブルース・ゴスペル,1,0,0,21053,1
2002000000170,ﾜｰﾙﾄﾞﾐｭｰｼﾞｯｸ,CD ワールドミュージック,1,0,0,21060,1
2002000000187,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝ,CD ジャズ・フュージョン,1,0,0,21071,1
2002000000194,ﾎﾞｰｶﾙ,CD ヴォーカル,1,0,0,21072,1
2002000000200,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝﾎｳｶﾞｸ,CD ジャズ・フュージョン邦楽,1,0,0,21073,1
2002000000217,ﾎﾞｰｶﾙﾎｳｶﾞｸ,CD ヴォーカル邦楽,1,0,0,21074,1
2002000000224,ｸﾗｼｯｸｾﾞﾝﾊﾟﾝ,CD クラシック 全般,1,0,0,21080,1
2002000000231,ｺｳｷｮｳｷｮｸ,CD 交響曲,1,0,0,21081,1
2002000000248,ｶﾝｹﾞﾝｶﾞｯｷｮｸ,CD 管弦楽曲,1,0,0,21082,1
2002000000255,ｷｮｳｿｳｷｮｸ,CD 協奏曲,1,0,0,21083,1
2002000000262,ｼﾂﾅｲｶﾞｯｷｮｸ,CD 室内楽曲,1,0,0,21084,1
2002000000279,ｷｶﾞｸｷｮｸ,CD 器楽曲,1,0,0,21085,1
2002000000286,ｶｷｮｸｵﾍﾟﾗ,CD 歌曲・オペラ,1,0,0,21086,1
2002000000293,ｹﾞﾝﾀﾞｲｷｮｸ,CD 現代曲,1,0,0,21087,1
2002000000309,ｼｭｳｷｮｳｷｮｸ,CD 宗教曲,1,0,0,21088,1
2002000000316,ｲｰｼﾞｰﾘｽﾆﾝｸﾞ,CD イージーリスニング,1,0,0,21090,1
2002000000323,ｻﾝﾄﾗｾﾞﾝﾊﾟﾝ,CD サントラ 全般,1,0,0,21100,1
2002000000330,ｴｲｶﾞｵﾝｶﾞｸﾎｳｶﾞ,CD 映画音楽邦画,1,0,0,21101,1
2002000000347,ｴｲｶﾞｵﾝｶﾞｸﾖｳｶﾞ,CD 映画音楽洋画,1,0,0,21102,1
2002000000354,ﾐｭｰｼﾞｶﾙ,CD ミュージカル,1,0,0,21103,1
2002000000361,TVｻﾝﾄﾗｺｸﾅｲ,CD TVサントラ国内,1,0,0,21105,1
2002000000378,TVｻﾝﾄﾗｶｲｶﾞｲ,CD TVサントラ海外,1,0,0,21106,1
2002000000385,ｷｯｽﾞｾﾞﾝﾊﾟﾝ,CD キッズ 全般,1,0,0,21110,1
2002000000392,ﾃﾞｨｽﾆｰ,CD ディズニー,1,0,0,21111,1
2002000000408,ﾄｸｻﾂﾋｰﾛｰ,CD 特撮・ヒーロー,1,0,0,21112,1
2002000000415,ｷｯｽﾞﾌｧﾐﾘｰ,CD キッズ・ファミリー,1,0,0,21113,1
2002000000422,ﾄﾞｳﾖｳ,CD 童謡,1,0,0,21114,1
2002000000439,ｷｮｳｲｸｷｮｳｻﾞｲ,CD 教育・教材,1,0,0,21115,1
2002000000446,ｱﾆﾒｹﾞｰﾑｾﾞﾝﾊﾟﾝ,CD アニメ・ゲーム 全般,1,0,0,21120,1
2002000000453,ｱﾆﾒ,CD アニメ,1,0,0,21121,1
2002000000460,ｹﾞｰﾑｵﾝｶﾞｸ,CD ゲーム音楽,1,0,0,21122,1
2002000000477,ｾｲﾕｳ,CD 声優,1,0,0,21123,1
2002000000484,ｲﾒｰｼﾞ,CD イメージ,1,0,0,21124,1
2002000000491,ｼﾞｭﾝﾎｳｶﾞｸ,CD 純邦楽,1,0,0,21130,1
2002000000507,ｼｭﾐﾊｳﾂｰ,CD 趣味・ハウツー,1,0,0,21141,1
2002000000514,ｴﾝｹﾞｲﾓﾉ,CD 演芸物,1,0,0,21142,1
2002000000521,ｷｮｳﾖｳ,CD 教養,1,0,0,21143,1
2002000000538,ｺｳｶｵﾝﾀﾞﾂｵﾝｶﾞｸ,CD 効果音・脱音楽,1,0,0,21144,1
2002000000545,ｶﾞｸｹﾞｲｾﾞﾝﾊﾟﾝ,CD 学芸 全般,1,0,0,21150,1
2002000000552,ｼｮｳｶ,CD 唱歌,1,0,0,21151,1
2002000000569,ｽｲｿｳｶﾞｸ,CD 吹奏楽,1,0,0,21152,1
2002000000576,ﾄﾞｷｭﾒﾝﾀﾘｰ,CD ドキュメンタリー,1,0,0,21160,1
2002000000583,ｽﾎﾟｰﾂ,CD スポーツ,1,0,0,21170,1
2002000000590,ｱｲﾄﾞﾙ,CD アイドル,1,0,0,21180,1
2002000000606,ｱﾀﾞﾙﾄ,CD アダルト,1,0,0,21190,1
2002000000613,ｶﾗｵｹ,CD カラオケ,1,0,0,21200,1
2002000000620,ﾕﾆｭｳﾊﾞﾝ,CD 輸入盤,1,0,0,21210,1
2002000000637,ｿﾉﾀ,CD その他,1,0,0,21990,1
2002000000644,ｴﾝｶｶﾖｳｷｮｸ,CT 演歌・歌謡曲,1,0,0,22020,1
2002000000651,Jﾎﾟｯﾌ,CT Jポップ,1,0,0,22030,1
2002000000668,ﾛｯｸﾎﾟｯﾌﾟｽ,CT ロック・ポップス,1,0,0,22040,1
2002000000675,ﾌﾞﾗｯｸ,CT ブラック,1,0,0,22050,1
2002000000682,ﾜｰﾙﾄﾞﾐｭｰｼﾞｯｸ,CT ワールドミュージック,1,0,0,22060,1
2002000000699,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝ,CT ジャズ・フュージョン,1,0,0,22071,1
2002000000705,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝﾎｳｶﾞｸ,CT ジャズ・フュージョン邦楽,1,0,0,22073,1
2002000000712,ｸﾗｼｯｸ,CT クラシック,1,0,0,22080,1
2002000000729,ｲｰｼﾞｰﾘｽﾆﾝｸﾞ,CT イージーリスニング,1,0,0,22090,1
2002000000736,ｻﾝﾄﾗ,CT サントラ,1,0,0,22100,1
2002000000743,ｷｯｽﾞｾﾞﾝﾊﾟﾝ,CT キッズ 全般,1,0,0,22110,1
2002000000750,ﾄﾞｳﾖｳ,CT 童謡,1,0,0,22114,1
2002000000767,ｱﾆﾒｹﾞｰﾑ,CT アニメ・ゲーム,1,0,0,22120,1
2002000000774,ｼﾞｭﾝﾎｳｶﾞｸ,CT 純邦楽,1,0,0,22130,1
2002000000781,ｼｭﾐｷｮｳﾖｳ,CT 趣味・教養,1,0,0,22140,1
2002000000798,ｶﾞｸｹﾞｲｾﾞﾝﾊﾟﾝ,CT 学芸 全般,1,0,0,22150,1
2002000000804,ｼｮｳｶ,CT 唱歌,1,0,0,22151,1
2002000000811,ﾄﾞｷｭﾒﾝﾀﾘｰ,CT ドキュメンタリー,1,0,0,22160,1
2002000000828,ｽﾎﾟｰﾂ,CT スポーツ,1,0,0,22170,1
2002000000835,ｱｲﾄﾞﾙ,CT アイドル,1,0,0,22180,1
2002000000842,ｱﾀﾞﾙﾄ,CT アダルト,1,0,0,22190,1
2002000000859,ｶﾗｵｹ,CT カラオケ,1,0,0,22200,1
2002000000866,ﾕﾆｭｳﾊﾞﾝ,CT 輸入盤,1,0,0,22210,1
2002000000873,ｿﾉﾀ,CT その他,1,0,0,22990,1
2002000000880,ｴﾝｶｶﾖｳｷｮｸ,AN 演歌・歌謡曲,1,0,0,23020,1
2002000000897,Jﾎﾟｯﾌ,AN Jポップ,1,0,0,23030,1
2002000000903,ﾛｯｸﾎﾟｯﾌﾟｽ,AN ロック・ポップス,1,0,0,23040,1
2002000000910,ﾌﾞﾗｯｸ,AN ブラック,1,0,0,23050,1
2002000000927,ﾜｰﾙﾄﾞﾐｭｰｼﾞｯｸ,AN ワールドミュージック,1,0,0,23060,1
2002000000934,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝ,AN ジャズ・フュージョン,1,0,0,23071,1
2002000000941,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝﾎｳｶﾞｸ,AN ジャズ・フュージョン邦楽,1,0,0,23073,1
2002000000958,ｸﾗｼｯｸ,AN クラシック,1,0,0,23080,1
2002000000965,ｲｰｼﾞｰﾘｽﾆﾝｸﾞ,AN イージーリスニング,1,0,0,23090,1
2002000000972,ｻﾝﾄﾗ,AN サントラ,1,0,0,23100,1
2002000000989,ｷｯｽﾞｾﾞﾝﾊﾟﾝ,AN キッズ 全般,1,0,0,23110,1
2002000000996,ﾄﾞｳﾖｳ,AN 童謡,1,0,0,23114,1
2002000001009,ｱﾆﾒｹﾞｰﾑ,AN アニメ・ゲーム,1,0,0,23120,1
2002000001016,ｼﾞｭﾝﾎｳｶﾞｸ,AN 純邦楽,1,0,0,23130,1
2002000001023,ｼｭﾐｷｮｳﾖｳ,AN 趣味・教養,1,0,0,23140,1
2002000001030,ｶﾞｸｹﾞｲｾﾞﾝﾊﾟﾝ,AN 学芸 全般,1,0,0,23150,1
2002000001047,ｼｮｳｶ,AN 唱歌,1,0,0,23151,1
2002000001054,ﾄﾞｷｭﾒﾝﾀﾘｰ,AN ドキュメンタリー,1,0,0,23160,1
2002000001061,ｽﾎﾟｰﾂ,AN スポーツ,1,0,0,23170,1
2002000001078,ｱｲﾄﾞﾙ,AN アイドル,1,0,0,23180,1
2002000001085,ｱﾀﾞﾙﾄ,AN アダルト,1,0,0,23190,1
2002000001092,ｶﾗｵｹ,AN カラオケ,1,0,0,23200,1
2002000001108,ﾕﾆｭｳﾊﾞﾝ,AN 輸入盤,1,0,0,23210,1
2002000001115,ｿﾉﾀ,AN その他,1,0,0,23990,1
2002000001122,ｴﾝｶｶﾖｳｷｮｸ,AU 演歌・歌謡曲,1,0,0,29020,1
2002000001139,Jﾎﾟｯﾌ,AU Jポップ,1,0,0,29030,1
2002000001146,ﾛｯｸﾎﾟｯﾌﾟｽ,AU ロック・ポップス,1,0,0,29040,1
2002000001153,ﾌﾞﾗｯｸ,AU ブラック,1,0,0,29050,1
2002000001160,ﾜｰﾙﾄﾞﾐｭｰｼﾞｯｸ,AU ワールドミュージック,1,5,0,29060,1
2002000001177,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝ,AU ジャズ・フュージョン,1,5,0,29071,1
2002000001184,ｼﾞｬｽﾞﾌｭｰｼﾞｮﾝﾎｳｶﾞｸ,AU ジャズ・フュージョン邦楽,1,0,0,29073,1
2002000001191,ｸﾗｼｯｸ,AU クラシック,1,0,0,29080,1
2002000001207,ｲｰｼﾞｰﾘｽﾆﾝｸﾞ,AU イージーリスニング,1,0,0,29090,1
2002000001214,ｻﾝﾄﾗ,AU サントラ,1,0,0,29100,1
2002000001221,ｷｯｽﾞｾﾞﾝﾊﾟﾝ,AU キッズ 全般,1,0,0,29110,1
2002000001238,ﾄﾞｳﾖｳ,AU 童謡,1,0,0,29114,1
2002000001245,ｱﾆﾒｹﾞｰﾑ,AU アニメ・ゲーム,1,0,0,29120,1
2002000001252,ｼﾞｭﾝﾎｳｶﾞｸ,AU 純邦楽,1,0,0,29130,1
2002000001269,ｼｭﾐｷｮｳﾖｳ,AU 趣味・教養,1,0,0,29140,1
2002000001276,ｶﾞｸｹﾞｲｾﾞﾝﾊﾟﾝ,AU 学芸 全般,1,0,0,29150,1
2002000001283,ｼｮｳｶ,AU 唱歌,1,0,0,29151,1
2002000001290,ﾄﾞｷｭﾒﾝﾀﾘｰ,AU ドキュメンタリー,1,0,0,29160,1
2002000001306,ｽﾎﾟｰﾂ,AU スポーツ,1,0,0,29170,1
