BUNRUIBTN,1,,,,"1行目/item1：LabelName,item2：startPage、２行目は見ない、３行目：プロパティ",,,
1ページ,2タグ名,3配置,4色,5フォントサイズ,6ボタン名,7コマンド,8データ,9表示
PAGE,TAGNAME,HAICHI,COLOR,FSIZE,BTNNAME,COMM,DATA,VISIBLE
1,分類,1,4,4;14;14,;その他オーディオ,BUNRUI_DAI,29990;1;AU他オーディオ;ｿﾉﾀｵｰﾃﾞｨｵ,1
1,分類,2,4,4;14;14,;その他ビジュアル,BUNRUI_DAI,39990;1;VI他ビジュアル;ｿﾉﾀﾋﾞｼﾞｭｱﾙ,1
1,分類,3,4,4;14;14,;書籍,BUNRUI_DAI,49100;1;書籍全般;ｼｮｾｷｾﾞﾝﾊﾟﾝ,1
1,分類,4,4,4;14;14,;雑誌,BUNRUI_DAI,40100;1;雑誌全般;ｻﾞｯｼｾﾞﾝﾊﾟﾝ,1
1,分類,5,4,4;14;14,;その他商品,BUNRUI_DAI,89000;1;その他商品;ｿﾉﾀｼｮｳﾋﾝ,1
1,分類,6,4,4;14;14,;その他食品,BUNRUI_DAI,99201;1;blその他食品(内税);blｿﾉﾀｼｮｸﾋﾝ,1
