2022-11-02 19:02:16,659 | INFO | MOUSE EVENT CLICK: 500 500
2022-11-02 19:05:33,905 | INFO | Load step 2

2022-11-02 19:05:34,286 | INFO | Data Event: 00DD20220702000058000296

2022-11-02 19:05:34,309 | INFO | Data Event: 00DD20220702000058000301

2022-11-02 19:05:34,332 | INFO | Data Event: 00DD20220702000058000601

2022-11-02 19:05:34,354 | INFO | Data Event: 00DD20220702000058000618

2022-11-02 19:05:35,083 | INFO | Data Event: 00DD20220702000058000299

2022-11-02 19:05:35,108 | INFO | Data Event: 00DD20220702000058000638

2022-11-02 19:05:35,131 | INFO | Data Event: 00DD20220702000058000312

2022-11-02 19:05:35,902 | INFO | Data Event: 00DD20220702000058000108

2022-11-02 19:05:35,923 | INFO | Data Event: 00DD20220702000058000314

2022-11-02 19:05:35,944 | INFO | Data Event: 00DD20220702000058000702

2022-11-02 19:05:36,774 | INFO | MOUSE EVENT CLICK: 48 29

2022-11-02 19:05:37,399 | INFO | MOUSE EVENT CLICK: 994 14

2022-11-02 19:05:37,494 | INFO | Data Event: 00DD20220702000058000130

2022-11-02 19:05:37,514 | INFO | Data Event: 00DD20220702000058000675

2022-11-02 19:05:38,176 | INFO | MOUSE EVENT CLICK: 52 16

2022-11-02 19:05:38,446 | INFO | Data Event: 00DD20220702000058000315

2022-11-02 19:05:38,468 | INFO | Data Event: 00DD20220702000058000123

2022-11-02 19:06:04,845 | INFO | Data Event: 00DD20220702000058000301

2022-11-02 19:06:04,855 | INFO | MOUSE EVENT CLICK: 500 500

2022-11-02 19:06:04,864 | INFO | Load step 2

2022-11-02 19:06:05,207 | INFO | Data Event: 00DD20220702000058000108

2022-11-02 19:06:05,230 | INFO | Data Event: 00DD20220702000058000310

2022-11-02 19:06:06,811 | INFO | Data Event: 00DD20220702000058000130

2022-11-02 19:06:06,865 | INFO | MOUSE EVENT CLICK: 38 22

2022-11-02 19:06:07,623 | INFO | Data Event: 00DD20220702000058000618

2022-11-02 19:06:07,645 | INFO | Data Event: 00DD20220702000058000601

2022-11-02 19:06:07,664 | INFO | Data Event: 00DD20220702000058000025

2022-11-02 19:06:07,685 | INFO | Data Event: 00DD20220702000058000123

2022-11-02 19:06:07,707 | INFO | Data Event: 00DD20220702000058000408

